Threshold,TP,FN,FP,TN,GAR_TPR,FAR_FPR,FRR
0.0,144991,0,144991,0,1.0,1.0,0.0
0.01,144991,0,144991,0,1.0,1.0,0.0
0.02,144991,0,144991,0,1.0,1.0,0.0
0.03,144991,0,144991,0,1.0,1.0,0.0
0.04,144991,0,144991,0,1.0,1.0,0.0
0.05,144991,0,144991,0,1.0,1.0,0.0
0.06,144991,0,144991,0,1.0,1.0,0.0
0.07,144991,0,144991,0,1.0,1.0,0.0
0.08,144991,0,144991,0,1.0,1.0,0.0
0.09,144991,0,144991,0,1.0,1.0,0.0
0.1,144991,0,144991,0,1.0,1.0,0.0
0.11,144991,0,144991,0,1.0,1.0,0.0
0.12,144991,0,144991,0,1.0,1.0,0.0
0.13,144991,0,144991,0,1.0,1.0,0.0
0.14,144991,0,144991,0,1.0,1.0,0.0
0.15,144991,0,144991,0,1.0,1.0,0.0
0.16,144991,0,144991,0,1.0,1.0,0.0
0.17,144991,0,144991,0,1.0,1.0,0.0
0.18,144991,0,144991,0,1.0,1.0,0.0
0.19,144991,0,144991,0,1.0,1.0,0.0
0.2,144991,0,144991,0,1.0,1.0,0.0
0.21,144991,0,144991,0,1.0,1.0,0.0
0.22,144991,0,144991,0,1.0,1.0,0.0
0.23,144991,0,144988,3,1.0,0.9999793090605624,0.0
0.24,144991,0,144984,7,1.0,0.9999517211413123,0.0
0.25,144991,0,144984,7,1.0,0.9999517211413123,0.0
0.26,144991,0,144973,18,1.0,0.9998758543633742,0.0
0.27,144991,0,144956,35,1.0,0.999758605706561,0.0
0.28,144991,0,144930,61,1.0,0.999579284231435,0.0
0.29,144991,0,144873,118,1.0,0.9991861563821203,0.0
0.3,144991,0,144793,198,1.0,0.9986343979971171,0.0
0.31,144991,0,144653,338,1.0,0.9976688208233615,0.0
0.32,144991,0,144434,557,1.0,0.9961583822444152,0.0
0.33,144990,1,144137,854,0.9999931030201875,0.9941099792400908,6.896979812540089e-06
0.34,144989,2,143677,1314,0.9999862060403749,0.9909373685263223,1.3793959625080178e-05
0.35,144989,2,143062,1929,0.9999862060403749,0.9866957259416101,1.3793959625080178e-05
0.36,144987,4,142159,2832,0.9999724120807498,0.9804677531708864,2.7587919250160355e-05
0.37,144986,5,140881,4110,0.9999655151009373,0.9716534129704603,3.4484899062700445e-05
0.38,144985,6,139210,5781,0.9999586181211247,0.9601285597037057,4.138187887524053e-05
0.39,144978,13,136956,8035,0.999910339262437,0.9445827672062403,8.966073756302115e-05
0.4,144969,22,134228,10763,0.9998482664441242,0.925767806277631,0.00015173355587588195
0.41,144955,36,130687,14304,0.9997517087267486,0.9013456007614266,0.0002482912732514432
0.42,144930,61,126417,18574,0.999579284231435,0.8718954969618804,0.0004207157685649454
0.43,144897,94,121436,23555,0.9993516838976212,0.8375416405156182,0.0006483161023787684
0.44,144841,150,115662,29329,0.998965453028119,0.7977184790780117,0.0010345469718810133
0.45,144759,232,109105,35886,0.9983999006834907,0.7524949824471864,0.0016000993165093005
0.46,144668,323,101957,43034,0.9977722755205496,0.7031953707471498,0.0022277244794504485
0.47,144543,448,94215,50776,0.996910153043982,0.6497989530384645,0.00308984695601796
0.48,144370,621,86007,58984,0.9957169755364126,0.5931885427371354,0.004283024463587395
0.49,144126,865,77652,67339,0.9940341124621528,0.535564276403363,0.005965887537847177
0.5,144126,865,77652,67339,0.9940341124621528,0.535564276403363,0.005965887537847177
0.51,143812,1179,69096,75895,0.9918684608010152,0.47655371712726996,0.008131539198984765
0.52,143422,1569,60553,84438,0.9891786386741246,0.41763281858874,0.0108213613258754
0.53,142986,2005,52305,92686,0.9861715554758571,0.36074652909490934,0.013828444524142877
0.54,142459,2532,44598,100393,0.9825368471146485,0.30759150567966287,0.017463152885351503
0.55,141824,3167,37438,107553,0.9781572649336855,0.25820913022187586,0.02184273506631446
0.56,141116,3875,30752,114239,0.9732742032264071,0.2120959231952328,0.026725796773592842
0.57,140262,4729,24795,120196,0.9673841824664979,0.1710106144519315,0.03261581753350208
0.58,139209,5782,19766,125225,0.9601216627238932,0.1363257029746674,0.03987833727610679
0.59,137969,7022,15459,129532,0.9515694077563435,0.10662041092205723,0.048430592243656506
0.6,136643,8348,11761,133230,0.9424240125249154,0.08111537957528399,0.05757598747508466
0.61,135074,9917,8847,136144,0.93160265119904,0.06101758040154216,0.06839734880096006
0.62,133236,11755,6575,138416,0.9189260023035912,0.04534764226745108,0.08107399769640874
0.63,131086,13905,4791,140200,0.9040974957066301,0.03304343028187957,0.09590250429336994
0.64,128557,16434,3391,141600,0.8866550337607162,0.02338765854432344,0.11334496623928382
0.65,125619,19372,2362,142629,0.8663917070714734,0.01629066631721969,0.1336082929285266
0.66,122261,22730,1614,143377,0.8432316488609638,0.011131725417439703,0.15676835113903623
0.67,118330,26661,1116,143875,0.8161196212178687,0.007697029470794739,0.18388037878213132
0.68,114028,30963,726,144265,0.7864488140643212,0.0050072073439041045,0.21355118593567876
0.69,109159,35832,479,144512,0.7528674193570636,0.0033036533302067024,0.24713258064293644
0.7,103528,41463,283,144708,0.7140305260326503,0.0019518452869488451,0.2859694739673497
0.71,97600,47391,173,144818,0.6731452297039127,0.0011931775075694354,0.32685477029608734
0.72,91145,53846,104,144887,0.6286252250139663,0.0007172859005041692,0.3713747749860336
0.73,84124,60867,63,144928,0.5802015297501224,0.0004345097281900256,0.4197984702498776
0.74,76837,68154,38,144953,0.5299432378561428,0.00026208523287652336,0.4700567621438572
0.75,76837,68154,38,144953,0.5299432378561428,0.00026208523287652336,0.4700567621438572
0.76,69242,75749,21,144970,0.47756067617990083,0.00014483657606334185,0.5224393238200992
0.77,61698,83293,10,144981,0.4255298604740984,6.896979812540089e-05,0.5744701395259016
0.78,54068,90923,6,144985,0.3729059045044175,4.138187887524053e-05,0.6270940954955825
0.79,46617,98374,3,144988,0.3215165079211813,2.0690939437620265e-05,0.6784834920788186
0.8,39393,105598,3,144988,0.2716927257553917,2.0690939437620265e-05,0.7283072742446083
0.81,32492,112499,1,144990,0.22409666806905257,6.896979812540089e-06,0.7759033319309474
0.82,26203,118788,1,144990,0.18072156202798795,6.896979812540089e-06,0.819278437972012
0.83,20637,124354,0,144991,0.1423329723913898,0.0,0.8576670276086102
0.84,15821,129170,0,144991,0.10911711761419675,0.0,0.8908828823858033
0.85,11630,133361,0,144991,0.08021187521984123,0.0,0.9197881247801588
0.86,8231,136760,0,144991,0.05676904083701747,0.0,0.9432309591629825
0.87,5662,139329,0,144991,0.03905069969860198,0.0,0.960949300301398
0.88,3680,141311,0,144991,0.025380885710147526,0.0,0.9746191142898525
0.89,2366,142625,0,144991,0.01631825423646985,0.0,0.9836817457635302
0.9,1386,143605,0,144991,0.009559214020180564,0.0,0.9904407859798194
0.91,812,144179,0,144991,0.005600347607782552,0.0,0.9943996523922175
0.92,422,144569,0,144991,0.0029105254808919176,0.0,0.9970894745191081
0.93,221,144770,0,144991,0.0015242325385713595,0.0,0.9984757674614286
0.94,116,144875,0,144991,0.0008000496582546503,0.0,0.9991999503417454
0.95,63,144928,0,144991,0.0004345097281900256,0.0,0.99956549027181
0.96,34,144957,0,144991,0.000234497313626363,0.0,0.9997655026863737
0.97,24,144967,0,144991,0.00016552751550096212,0.0,0.9998344724844991
0.98,15,144976,0,144991,0.00010345469718810133,0.0,0.9998965453028119
0.99,13,144978,0,144991,8.966073756302115e-05,0.0,0.999910339262437
