Threshold,TP,FN,FP,TN,GAR_TPR,FAR_FPR,FRR
0.0,145530,0,145530,0,1.0,1.0,0.0
0.01,145530,0,145530,0,1.0,1.0,0.0
0.02,145530,0,145530,0,1.0,1.0,0.0
0.03,145530,0,145530,0,1.0,1.0,0.0
0.04,145530,0,145530,0,1.0,1.0,0.0
0.05,145530,0,145530,0,1.0,1.0,0.0
0.06,145530,0,145530,0,1.0,1.0,0.0
0.07,145530,0,145530,0,1.0,1.0,0.0
0.08,145530,0,145530,0,1.0,1.0,0.0
0.09,145530,0,145530,0,1.0,1.0,0.0
0.1,145530,0,145530,0,1.0,1.0,0.0
0.11,145530,0,145530,0,1.0,1.0,0.0
0.12,145530,0,145530,0,1.0,1.0,0.0
0.13,145530,0,145530,0,1.0,1.0,0.0
0.14,145530,0,145530,0,1.0,1.0,0.0
0.15,145530,0,145530,0,1.0,1.0,0.0
0.16,145530,0,145530,0,1.0,1.0,0.0
0.17,145530,0,145530,0,1.0,1.0,0.0
0.18,145530,0,145530,0,1.0,1.0,0.0
0.19,145530,0,145530,0,1.0,1.0,0.0
0.2,145530,0,145530,0,1.0,1.0,0.0
0.21,145530,0,145529,1,1.0,0.9999931285645571,0.0
0.22,145530,0,145527,3,1.0,0.9999793856936714,0.0
0.23,145530,0,145526,4,1.0,0.9999725142582285,0.0
0.24,145530,0,145520,10,1.0,0.9999312856455713,0.0
0.25,145530,0,145520,10,1.0,0.9999312856455713,0.0
0.26,145530,0,145511,19,1.0,0.9998694427265856,0.0
0.27,145530,0,145491,39,1.0,0.9997320140177283,0.0
0.28,145529,1,145466,64,0.9999931285645571,0.9995602281316567,6.871435442864015e-06
0.29,145529,1,145416,114,0.9999931285645571,0.9992166563595135,6.871435442864015e-06
0.3,145529,1,145336,194,0.9999931285645571,0.9986669415240844,6.871435442864015e-06
0.31,145528,2,145205,325,0.9999862571291143,0.9977667834810692,1.374287088572803e-05
0.32,145522,8,145002,528,0.9999450285164571,0.9963718820861678,5.497148354291212e-05
0.33,145513,17,144704,826,0.9998831855974714,0.9943241943241943,0.00011681440252868825
0.34,145510,20,144280,1250,0.9998625712911428,0.99141070569642,0.0001374287088572803
0.35,145495,35,143621,1909,0.9997594997594997,0.9868824297395726,0.0002405002405002405
0.36,145476,54,142732,2798,0.9996289424860854,0.9807737236308665,0.00037105751391465676
0.37,145452,78,141481,4049,0.9994640280354566,0.9721775578918436,0.0005359719645433931
0.38,145416,114,139706,5824,0.9992166563595135,0.9599807599807599,0.0007833436404864976
0.39,145365,165,137445,8085,0.9988662131519275,0.9444444444444444,0.0011337868480725624
0.4,145306,224,134647,10883,0.9984607984607985,0.925218168075311,0.0015392015392015391
0.41,145224,306,131097,14433,0.9978973407544837,0.9008245722531437,0.0021026592455163882
0.42,145097,433,126821,18709,0.9970246684532399,0.8714423142994572,0.002975331546760118
0.43,144955,575,121857,23673,0.9960489246203532,0.8373325087610802,0.003951075379646808
0.44,144785,745,116119,29411,0.9948807805950663,0.7979042121899265,0.00511921940493369
0.45,144548,982,109642,35888,0.9932522503951076,0.7533979248264963,0.0067477496048924624
0.46,144280,1250,102306,43224,0.99141070569642,0.7029890744176458,0.008589294303580018
0.47,143917,1613,94513,51017,0.9889163746306604,0.6494399780114066,0.011083625369339656
0.48,143533,1997,86244,59286,0.9862777434206006,0.592620078334364,0.013722256579399437
